date,sector,sector_rank,sector_avg_momentum,code,name,signal_price,momentum,is_uptrend,ma20,ma60,volume_ratio,foreign_5d_net_buy_mil,passed_all_filters,selected,bb_pct,atr,avg_tr_pbmn_mil
2026-05-22,양자암호/양자컴퓨팅,2,21.59,062970,한국첨단소재,3070,2.16,True,2911.0,2701.0,0.92,,False,False,0.658,409.0,15216.7
2026-05-22,양자암호/양자컴퓨팅,2,21.59,203650,드림시큐리티,3945,0.38,True,3326.0,2371.0,0.12,,False,False,0.897,560.0,76621.7
2026-05-22,광통신(광케이블/광섬유 등),3,17.8,010170,대한광통신,25300,66.23,True,20732.0,13565.0,0.28,,False,False,0.74,3871.0,830044.9
2026-05-22,광통신(광케이블/광섬유 등),3,17.8,100590,머큐리,7900,15.84,True,7802.0,6442.0,0.31,,False,False,0.518,1517.0,34388.9
2026-05-22,광통신(광케이블/광섬유 등),3,17.8,069540,빛과전자,6120,8.7,True,5325.0,3725.0,0.94,,False,False,1.014,852.0,70052.7
2026-05-22,광통신(광케이블/광섬유 등),3,17.8,043260,성호전자,41500,-19.57,False,42482.0,42841.0,1.66,,False,False,0.422,5425.0,90883.6
2026-05-22,해저터널(지하화/지하도로 등),4,16.31,125020,티씨머티리얼즈,9920,65.89,True,7450.0,6209.0,2.36,,False,False,1.084,870.0,42934.1
2026-05-22,해저터널(지하화/지하도로 등),4,16.31,017510,세명전기,11840,12.55,False,13368.0,10859.0,0.23,,False,False,0.292,1344.0,41308.2
2026-05-22,해저터널(지하화/지하도로 등),4,16.31,060370,LS마린솔루션,37350,10.67,False,39610.0,33342.0,0.38,,False,False,0.389,4121.0,30901.6
2026-05-22,해저터널(지하화/지하도로 등),4,16.31,046940,우원개발,4150,-23.85,False,5255.0,4874.0,0.57,,False,False,0.088,456.0,2346.9
2026-05-26,온디바이스 AI,1,55.21,009150,삼성전기,1480000,91.21,True,988250.0,658583.0,1.33,,False,False,1.19,110821.0,998039.7
2026-05-26,온디바이스 AI,1,55.21,000660,SK하이닉스,2020000,64.9,True,1674600.0,1220033.0,0.59,,False,False,0.817,140214.0,8982918.2
2026-05-26,온디바이스 AI,1,55.21,005930,삼성전자,298500,32.96,True,264450.0,219075.0,0.58,,False,False,0.796,20357.0,8377196.5
2026-05-26,온디바이스 AI,1,55.21,403870,HPSP,67200,31.76,True,53930.0,47930.0,0.59,,False,False,1.369,5189.0,151983.5
2026-05-26,반도체 재료/부품,2,51.44,425040,티이엠씨,26850,119.0,True,21894.0,14869.0,0.73,,False,False,0.805,3274.0,75227.5
2026-05-26,반도체 재료/부품,2,51.44,052900,KX하이텍,2415,100.41,True,1530.0,1291.0,0.8,,False,False,1.154,242.0,11074.4
2026-05-26,반도체 재료/부품,2,51.44,142210,유니트론텍,8320,47.26,True,6880.0,5922.0,2.2,,False,False,0.855,838.0,15299.7
2026-05-26,반도체 재료/부품,2,51.44,252990,샘씨엔에스,14930,9.94,True,13306.0,11384.0,2.85,,False,False,0.888,1158.0,12959.9
2026-05-26,반도체 재료/부품,2,51.44,092220,KEC,6450,-19.43,False,8636.0,7820.0,1.43,,False,False,0.033,469.0,32437.9
2026-05-26,반도체 기판(FC-BGA/PCB/MLB 등),3,49.83,009150,삼성전기,1478000,90.96,True,988150.0,658550.0,1.33,,False,False,1.188,110821.0,998039.7
2026-05-26,반도체 기판(FC-BGA/PCB/MLB 등),3,49.83,036710,심텍홀딩스,5990,61.67,True,4553.0,3357.0,4.02,,False,False,0.93,732.0,6355.5
2026-05-26,반도체 기판(FC-BGA/PCB/MLB 등),3,49.83,064290,인텍플러스,39750,40.71,True,30022.0,23188.0,2.47,,False,False,1.165,3882.0,20439.9
2026-05-26,반도체 기판(FC-BGA/PCB/MLB 등),3,49.83,077360,덕산하이메탈,18090,5.98,True,17814.0,14303.0,0.99,,False,False,0.57,1757.0,38321.9
2026-05-26,MLCC(적층세라믹콘덴서),4,48.76,001820,삼화콘덴서,122550,97.34,True,71532.0,61252.0,4.57,,False,False,1.35,10293.0,43962.5
2026-05-26,MLCC(적층세라믹콘덴서),4,48.76,009150,삼성전기,1477000,90.83,True,988100.0,658533.0,1.33,,False,False,1.188,110821.0,998039.7
2026-05-26,MLCC(적층세라믹콘덴서),4,48.76,052710,아모텍,29450,21.95,True,21556.0,17919.0,3.28,,False,False,1.169,2676.0,15317.0
2026-05-26,MLCC(적층세라믹콘덴서),4,48.76,306620,지아이에스,3875,19.05,True,3210.0,3103.0,2.06,,False,False,0.947,378.0,6033.7
2026-05-26,MLCC(적층세라믹콘덴서),4,48.76,126730,코칩,24650,14.65,True,19872.0,19070.0,4.46,,False,False,1.023,2620.0,16613.5
2026-05-26,아이폰,5,46.85,009150,삼성전기,1481000,91.34,True,988300.0,658600.0,1.33,,False,False,1.191,110821.0,998039.7
2026-05-26,아이폰,5,46.85,000660,SK하이닉스,2020000,64.9,True,1674600.0,1220033.0,0.59,,False,False,0.817,140214.0,8982918.2
2026-05-26,아이폰,5,46.85,005930,삼성전자,298500,32.96,True,264450.0,219075.0,0.58,,False,False,0.796,20357.0,8377196.5
2026-05-26,아이폰,5,46.85,090460,비에이치,42150,25.63,True,33965.0,26102.0,2.1,,False,False,1.17,3604.0,30867.9
2026-05-26,아이폰,5,46.85,034220,LG디스플레이,15820,19.4,True,13303.0,12632.0,1.01,,False,False,1.05,1321.0,170898.0
2026-05-27,국내 상장 중국기업,1,144.18,032580,피델릭스,8480,610.81,True,3609.0,1926.0,0.0,,False,False,0.97,936.0,16988.9
2026-05-27,국내 상장 중국기업,1,144.18,900260,로스웰,1668,3.28,False,1604.0,1641.0,2.59,,False,False,1.052,42.0,50.8
2026-05-27,국내 상장 중국기업,1,144.18,900270,헝셩그룹,931,-15.67,False,1012.0,1132.0,0.49,,False,False,0.17,39.0,166.3
2026-05-27,국내 상장 중국기업,1,144.18,900290,GRT,3465,-21.69,False,3614.0,4995.0,1.26,,False,False,0.392,210.0,2654.7
2026-05-27,반도체 대표주(생산),2,56.38,000660,SK하이닉스,2259000,84.86,True,1728050.0,1239900.0,0.92,,False,False,0.97,147857.0,9158981.8
2026-05-27,반도체 대표주(생산),2,56.38,005930,삼성전자,320000,45.79,True,269500.0,220783.0,0.75,,False,False,0.931,19429.0,8341642.8
